date,village_id,pH,turbidity_NTU,TDS_mg_L,temperature_C,diarrhea_cases,fever_cases,outbreak_label
2021-01-01,V001,7.54,2.13,351.6,22.8,1,4,0
2021-01-01,V002,7.17,2.23,349.3,22.0,2,5,0
2021-01-01,V003,7.53,2.62,330.6,26.1,1,4,0
2021-01-02,V001,7.34,1.07,331.8,18.5,2,4,0
2021-01-02,V002,7.1,3.76,445.4,19.9,2,2,0
2021-01-02,V003,7.23,2.56,332.7,22.3,2,5,0
2021-01-03,V001,7.13,0.97,345.0,25.4,1,2,0
2021-01-03,V002,6.94,0.77,383.8,23.3,4,2,0
2021-01-03,V003,7.13,3.0,421.8,21.8,1,1,0
2021-01-04,V001,7.42,2.09,445.8,19.2,3,2,0
2021-01-04,V002,7.65,3.2,332.9,21.1,1,2,0
2021-01-04,V003,7.3,2.8,351.8,21.0,3,5,0
2021-01-05,V001,7.3,1.72,361.0,24.7,1,2,0
2021-01-05,V002,7.2,2.16,317.6,25.5,0,4,0
2021-01-05,V003,7.18,3.13,374.4,22.7,2,2,0
2021-01-06,V001,7.1,2.67,296.1,18.3,1,3,0
2021-01-06,V002,7.09,1.6,287.8,21.0,2,2,0
2021-01-06,V003,7.2,1.07,340.3,23.4,3,6,0
2021-01-07,V001,7.18,2.95,325.5,22.2,4,2,0
2021-01-07,V002,6.73,1.22,365.6,20.7,2,4,0
2021-01-07,V003,7.66,2.69,383.7,21.1,3,4,0
2021-01-08,V001,6.82,3.01,396.9,22.3,3,1,0
2021-01-08,V002,6.91,1.43,331.9,23.6,3,3,0
2021-01-08,V003,7.32,2.26,373.8,20.9,0,2,0
2021-01-09,V001,7.16,2.97,358.9,25.5,0,1,0
2021-01-09,V002,7.2,1.78,336.8,21.3,3,1,0
2021-01-09,V003,7.36,0.68,275.2,25.2,4,4,0
2021-01-10,V001,6.97,3.69,317.1,23.2,1,4,0
2021-01-10,V002,7.11,1.7,349.0,23.3,2,4,0
2021-01-10,V003,7.49,2.55,324.2,22.6,3,5,0
2021-01-11,V001,7.09,2.16,234.7,23.8,2,0,0
2021-01-11,V002,6.85,2.32,388.0,21.8,1,4,0
2021-01-11,V003,7.36,2.9,350.9,26.7,3,4,0
2021-01-12,V001,7.19,3.61,287.5,19.0,1,4,0
2021-01-12,V002,7.19,1.39,448.3,23.4,0,6,0
2021-01-12,V003,7.16,2.82,327.5,18.1,3,3,0
2021-01-13,V001,6.95,2.05,276.6,22.7,3,3,0
2021-01-13,V002,7.04,1.51,370.1,21.3,3,6,0
2021-01-13,V003,6.74,2.56,340.0,20.4,0,4,0
2021-01-14,V001,7.07,1.87,354.0,23.0,2,4,0
2021-01-14,V002,7.2,1.55,276.9,24.3,4,2,0
2021-01-14,V003,6.58,1.29,346.5,21.6,6,2,0
2021-01-15,V001,7.21,2.89,427.1,24.2,3,2,0
2021-01-15,V002,7.18,2.26,307.9,23.9,4,3,0
2021-01-15,V003,7.03,1.28,343.4,23.7,0,1,0
2021-01-16,V001,7.19,2.16,266.9,22.2,1,2,0
2021-01-16,V002,6.91,2.49,315.9,21.2,3,4,0
2021-01-16,V003,7.29,2.78,328.3,18.3,2,4,0
2021-01-17,V001,7.43,1.77,419.9,21.4,1,3,0
2021-01-17,V002,6.76,2.58,398.9,20.5,1,3,0
2021-01-17,V003,7.38,3.82,356.9,22.9,0,3,0
2021-01-18,V001,7.44,1.56,371.1,20.0,4,2,0
2021-01-18,V002,7.14,2.62,319.2,23.5,3,2,0
2021-01-18,V003,7.2,2.63,375.1,20.9,0,4,0
2021-01-19,V001,7.15,2.3,355.6,20.6,1,3,0
2021-01-19,V002,6.83,1.46,292.2,17.3,2,2,0
2021-01-19,V003,7.35,2.35,323.1,23.3,2,0,0
2021-01-20,V001,6.94,3.8,384.7,23.6,4,2,0
2021-01-20,V002,7.31,4.87,328.6,24.4,1,0,0
2021-01-20,V003,7.39,1.34,256.6,22.7,1,4,0
2021-01-21,V001,7.62,2.84,318.0,19.8,2,4,0
2021-01-21,V002,7.47,0.5,428.9,23.4,4,3,0
2021-01-21,V003,7.33,3.52,357.3,20.6,0,3,0
2021-01-22,V001,7.22,2.05,375.3,23.1,3,3,0
2021-01-22,V002,7.41,1.76,346.2,24.0,1,3,0
2021-01-22,V003,7.5,3.36,416.7,23.5,4,2,0
2021-01-23,V001,7.16,3.0,356.3,21.0,5,1,0
2021-01-23,V002,7.35,2.69,388.3,24.1,0,1,0
2021-01-23,V003,6.94,3.65,338.1,21.8,6,4,0
2021-01-24,V001,7.24,3.21,298.7,20.2,0,5,0
2021-01-24,V002,7.66,2.43,351.4,20.5,2,0,0
2021-01-24,V003,7.1,2.0,340.8,24.8,2,3,0
2021-01-25,V001,7.27,2.59,315.4,19.0,1,4,0
2021-01-25,V002,7.3,2.51,276.9,22.4,3,2,0
2021-01-25,V003,7.19,3.0,406.1,20.6,1,2,0
2021-01-26,V001,6.89,2.27,294.2,22.3,3,2,0
2021-01-26,V002,7.4,2.95,335.3,24.8,2,5,0
2021-01-26,V003,7.47,2.1,274.3,21.5,2,2,0
2021-01-27,V001,7.42,2.98,292.6,21.4,2,2,0
2021-01-27,V002,7.03,3.13,365.1,19.6,2,3,0
2021-01-27,V003,7.28,4.18,331.4,19.3,4,5,0
2021-01-28,V001,7.05,2.31,401.5,20.2,2,4,0
2021-01-28,V002,7.19,3.87,310.3,23.9,3,2,0
2021-01-28,V003,6.9,3.13,361.7,21.9,1,1,0
2021-01-29,V001,7.25,3.24,352.7,20.3,2,1,0
2021-01-29,V002,7.32,2.5,392.1,20.6,2,3,0
2021-01-29,V003,7.13,2.09,382.3,22.0,2,4,0
2021-01-30,V001,7.11,1.83,338.7,22.5,0,2,0
2021-01-30,V002,7.25,1.9,388.0,23.6,2,3,0
2021-01-30,V003,7.2,0.96,337.7,23.0,2,0,0
2021-01-31,V001,6.92,3.64,339.0,21.1,3,3,0
2021-01-31,V002,6.63,2.54,442.9,23.7,2,5,0
2021-01-31,V003,7.16,3.24,454.7,23.4,3,5,0
2021-02-01,V001,7.2,1.99,313.7,20.9,0,1,0
2021-02-01,V002,7.27,2.13,303.0,21.5,3,6,0
2021-02-01,V003,6.85,2.9,331.1,20.7,2,3,0
2021-02-02,V001,7.29,2.48,325.6,19.0,0,5,0
2021-02-02,V002,7.5,3.36,341.6,23.6,1,2,0
2021-02-02,V003,7.27,1.83,257.2,25.5,2,2,0
2021-02-03,V001,7.38,2.37,365.6,24.3,2,2,0
2021-02-03,V002,7.22,3.64,355.6,21.4,5,4,0
2021-02-03,V003,7.56,2.07,318.7,24.0,0,5,0
2021-02-04,V001,7.28,2.95,380.0,25.8,2,3,0
2021-02-04,V002,7.19,1.53,367.0,22.6,1,1,0
2021-02-04,V003,7.41,3.35,400.5,21.7,1,2,0
2021-02-05,V001,7.25,3.12,270.2,24.7,1,4,0
2021-02-05,V002,7.31,2.11,318.6,20.6,2,2,0
2021-02-05,V003,7.35,3.74,316.6,20.4,1,1,0
2021-02-06,V001,7.29,1.67,313.5,21.8,1,4,0
2021-02-06,V002,7.01,3.45,395.8,21.4,3,4,0
2021-02-06,V003,7.29,3.21,437.8,25.4,2,3,0
2021-02-07,V001,7.14,2.21,399.7,21.5,0,1,0
2021-02-07,V002,6.9,1.79,346.1,19.5,1,3,0
2021-02-07,V003,7.0,3.11,396.0,19.6,0,2,0
